,mol_1,target_H_298,target_S_298,target_Cp_300,target_Cp_400,target_Cp_500,target_Cp_600,target_Cp_800,target_Cp_1000,target_Cp_1500,feature_opt,feature_symm,feature_entropy
85,[H]C(=C(\[H])C([H])([H])[H])/C([H])=C(\[H])C([H])([H])[H],49.274968,354.09192,120.58288,153.21808,183.13368,208.02848,245.22424,271.62528,312.25192,1,18,2.890371758
86,[H]/C(=C(\[H])C([H])(/C([H])=C(/[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],23.564288,426.26592,167.48552,212.5472,252.04416,284.76304,334.9292,371.87392,429.65496,1,27,3.295836866
87,[H]/C(=C(/[H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-74.1614,419.36232,156.60712,195.35096,230.91496,261.62552,310.62016,347.4812,405.34592,1,9,2.197224577
88,[H]C([H])=C([H])[C@]([H])(C#CC([H])([H])[H])C([H])([H])[H],206.840224,399.11176,137.2352,169.53568,198.02872,222.1704,260.16112,288.4868,332.8372,1,9,2.197224577
89,[H]C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-197.894832,418.90208,166.56504,210.41336,250.2032,284.3028,338.4856,379.23776,443.12744,1,81,4.394449155
90,[H]C([H])=C(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-62.856232,369.78192,132.67464,166.77424,197.44296,223.6348,265.22376,296.52008,345.89128,1,27,3.295836866
91,[H]C#CC([H])(C#CC([H])([H])[H])C#CC([H])([H])[H],645.892448,439.5292,157.19288,188.6984,215.64336,238.32064,274.09384,300.74592,342.08384,1,9,2.197224577
92,[H]C([H])([H])C#CC(C#CC([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],310.804256,443.96424,175.14224,214.8484,249.95216,279.65856,326.39384,361.16288,415.30384,1,162,5.087596335
93,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-230.3292,431.49592,188.74024,241.33312,288.19392,327.64904,389.19568,434.67576,505.218,1,729,6.591673732
94,[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-42.881816,382.58496,135.89632,168.48968,198.69816,224.76448,266.35344,297.60792,346.76992,1,3,1.098612289
95,[H]C([H])=C([H])C([H])([H])/C([H])=C(/[H])C([H])([H])[H],79.470896,365.6816,121.5452,150.66584,177.82,201.2504,238.36248,266.1024,309.36496,1,3,1.098612289
96,[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H],0.267776,479.77928,189.99544,237.40016,280.87192,318.1932,377.10392,420.78488,488.44016,1,9,2.197224577
97,[H]C([H])=C([H])C(C([H])=C([H])[H])=C([H])C([H])([H])[H],154.372864,377.1876,137.94648,175.14224,205.68544,229.9108,266.3116,293.00552,334.9292,1,3,1.098612289
98,[H]C(C#CC([H])([H])[H])=C(C([H])([H])[H])C([H])([H])[H],172.627656,389.112,135.51976,165.51904,193.21712,217.44248,256.43736,285.80904,331.582,1,27,3.295836866
