,mol_1,target_H_298,target_S_298,target_Cp_300,target_Cp_400,target_Cp_500,target_Cp_600,target_Cp_800,target_Cp_1000,target_Cp_1500,feature_opt,feature_symm,feature_entropy
50,C=C[C+](CC)C=C,843.4003993,381.02,143.09,178.37,210.58,237.82,279.72,310.13,356.56,1,6,1.791759469
51,C=C[C+](CCC)C=C,820.3022648,434.32,167.93,208.05,245.23,276.93,326.01,361.71,416.26,1,6,1.791759469
52,C=C[C+]=C,1046.656446,278.47,76.5,93.77,108.58,120.87,139.93,154.06,176.25,1,1,0
53,C=C[C+]=CC,996.5510969,317.9,96.83,119.07,139.12,156.2,183.07,203.07,234.36,1,1,0
54,C=C[CH1+]C=CC,848.4457481,343.98,114.01,143.38,170.34,193.35,229.25,255.61,296.37,2,3,0.405465108
55,C=C[CH1+]CC,826.4412915,340.62,103.89,130.48,155.67,177.53,211.71,236.35,273.15,1,3,1.098612289
56,C=C[CH1+]CCC,802.9459427,363.48,132,164.67,194.39,219.51,258.32,286.74,330.94,1,3,1.098612289
57,C=C[CH1+]CCCC,777.150594,407.13,158.14,197.39,232.2,261.39,306.48,339.6,391.25,1,3,1.098612289
58,C=C[CH1+]CCCCC,754.5152452,451.49,186.89,230.7,269.86,302.87,354.2,392.12,451.38,1,3,1.098612289
59,C=C[CH2+],953.9419891,241.38,59.36,73.99,87.45,98.95,117.03,130.53,151.94,1,2,0.693147181
60,C=CC[CH1+]C,835.1012915,315.88,102.79,131.29,156.62,177.88,210.9,235.32,273.68,1,3,1.098612289
61,C=CC[CH1+]CC,806.3659427,354.85,126.37,161.02,191.75,217.51,257.47,287.02,333.31,1,3,1.098612289
62,C=CCC[CH1+]C,848.9759427,393.2,131.87,166.47,197.65,223.42,262.04,289.58,331.73,1,3,1.098612289
63,c1(c(ccc(c1)[C+](C)C#C)C)C,954.601843,478.08,200.44,253.22,299.66,338.54,398.11,440.88,504.89,2,27,2.602689685
64,c1(c(ccc(c1)[C+](C)C)C)C,679.0902859,454.01,190.76,244.28,293.14,334.76,399.33,446.12,516.85,1,81,4.394449155
65,c1(c(ccc(c1)[CH1+]C=C)C)C,808.3400913,428.6,183.9,236.3,283.58,323.61,384.79,427.86,490.29,2,9,1.504077397
66,c1(c(ccc(c1)[CH2+])C)C,795.7309834,384.38,152.39,194.43,232.08,263.8,312.54,347.68,400.97,1,9,2.197224577
67,c1(cc(ccc1[C+](C)C#C)C)C,968.201843,487.73,204.23,256.46,302.39,340.82,399.65,441.87,505.1,2,27,2.602689685
68,c1(cccc(c1[CH2+])C)C,808.0509834,380.39,151.01,193.21,231.06,262.95,311.91,347.18,400.64,1,9,2.197224577
69,c1(ccccc1[C+](C)C)C,752.6356347,416.38,175.09,223.73,266.74,302.79,358.13,398.09,458.5,1,54,3.988984047
70,c1(ccccc1[CH1+]C#C)C,1069.945953,401.8,156.87,199.11,235.4,265.16,309.85,341.45,388.76,2,3,0.405465108
71,c1(ccccc1[CH1+]C)C,790.7609834,393.54,151.01,192.89,230.82,262.83,311.99,347.35,400.84,2,9,1.504077397
72,c1(ccccc1[CH1+]C=C)C,864.7054401,404.34,161.2,208.43,250.85,286.48,340.28,377.68,431.34,2,3,0.405465108
73,c1c(c(c(cc1[CH1+]C#C)C)C)C,971.071843,456.3,204.29,256.52,302.22,340.5,399.36,441.87,506.34,1,27,3.295836866
74,c1c(c(c(cc1[CH2+])C)C)C,754.4656347,408.58,174.64,222.35,265.03,301.15,357.1,397.73,459.64,1,54,3.988984047
75,c1c(c(ccc1[C+](C)C)C)CC,657.5849371,493.74,212.94,273.15,327.82,374.25,446.14,498.21,576.87,1,81,4.394449155
76,c1c(c(ccc1[C+](C=C)C=C)C)C,860.8491991,477.51,229.87,291.32,344.91,389.73,458.11,506.21,574.83,1,9,2.197224577
77,c1c(cc(cc1[CH1+]C#C)C)C,1022.097192,437.76,177.75,225.31,266.77,301.21,353.56,390.97,447.26,2,9,1.504077397
78,c1c(cc(cc1[CH2+])C)C,809.3509834,385.92,147.95,190.94,229.37,261.66,311.14,346.71,400.49,1,18,2.890371758
79,c1c(ccc(c1[C+](C)C)C)C,707.3902859,467.41,199.63,252.46,299.97,340.28,402.84,448.35,517.39,1,81,4.394449155
80,c1c(cccc1[C+](C)C#C)C,1009.407192,431.42,175.16,224.06,266.22,300.98,353.51,390.9,447.13,1,9,2.197224577
81,c1c(cccc1[C+](C)C)C,732.4056347,422.68,165.14,214.65,259.23,296.78,354.36,395.71,457.85,1,54,3.988984047
82,c1c(cccc1[C+](C)C)CC,709.1902859,462.09,188.29,243.81,293.77,335.82,400.38,446.89,517.03,1,54,3.988984047
83,c1c(cccc1[C+](C)C)CCC,687.5917622,496.39,213.91,274.56,329.5,375.88,447.29,498.88,576.8,1,54,3.988984047
84,c1c(cccc1[C+](C)C=C)C,822.3400913,448.4,179.78,233.82,281.43,321.01,380.77,422.87,484.64,1,9,2.197224577
85,c1c(cccc1[C+](C=C)C=C)C,910.3645479,444.64,203.77,261.09,310.21,350.83,412.33,455.39,516.24,1,6,1.791759469
86,c1c(cccc1[C+]=C)C,965.7807888,376.02,141.64,182.41,217.4,246.14,289.39,320.05,365.96,1,3,1.098612289
87,c1c(cccc1[CH1+]C#C)C,1067.982541,406.52,155.55,198.21,234.74,264.68,309.58,341.3,388.72,2,3,0.405465108
88,c1c(cccc1[CH1+]C=C)C,861.1854401,410.89,159.05,206.85,249.63,285.5,339.68,377.35,431.37,2,3,0.405465108
89,c1cc(ccc1[C+](C)C#C)C,997.7971918,450.81,173.92,223.03,265.39,300.34,353.12,390.61,446.44,1,9,2.197224577
90,c1cc(ccc1[C+](C)C)C,721.6356347,417.4,164.11,214.01,258.81,296.51,354.29,395.77,458.16,1,54,3.988984047
91,c1cc(ccc1[C+](C)C=C)C,812.2100913,434.45,178.4,233.44,281.6,321.41,381.17,423.13,484.89,1,9,2.197224577
92,c1cc(ccc1[C+](C=C)C=C)C,902.4645479,445.03,203.23,260.59,309.94,350.78,412.45,455.48,516.4,1,6,1.791759469
93,c1cc(ccc1[C+]=C)C,953.9507888,370.56,140.86,182.06,217.26,246.11,289.43,320.11,366.02,1,6,1.791759469
94,c1cc(ccc1[CH1+]C#C)C,1055.962541,391.04,154.03,197.49,234.39,264.51,309.55,341.32,388.77,1,3,1.098612289
95,c1cc(ccc1[CH1+]C)C,778.2763322,382.92,146.74,190.33,229.17,261.73,311.45,347.08,400.8,1,9,2.197224577
96,c1cc(ccc1[CH1+]C)CC,755.1309834,421.2,169.28,218.94,263.22,300.31,357.07,397.92,459.84,1,9,2.197224577
97,c1cc(ccc1[CH1+]C)CCC,730.9256347,454.96,197.48,251.36,300.02,341.08,404.32,450.09,519.72,1,9,2.197224577
98,c1cc(ccc1[CH1+]C=C)C,850.9054401,398.35,158.47,206.52,249.29,285.21,339.81,377.97,432.35,1,3,1.098612289
99,c1cc(ccc1[CH2+])C,840.9963322,356.43,125.26,163.75,197.43,225.3,267.35,297.21,342.08,1,6,1.791759469
100,c1ccccc1[C+](C)C,776.7109834,393.07,143.48,187.83,227.38,260.38,310.44,346.08,399.46,1,18,2.890371758
101,c1ccccc1[C+](C)C#C,1054.010834,390.26,152.92,196.94,234.18,264.45,309.52,341.23,388.59,1,3,1.098612289
102,c1ccccc1[C+](C)C=C,865.6154401,401.73,158.11,206.55,248.58,283.17,334.97,371.38,425.09,1,3,1.098612289
103,c1ccccc1[C+](C)C=CC,805.6400913,452.85,181.59,235.23,282.68,322.1,381.61,423.61,485.38,2,9,1.504077397
104,c1ccccc1[C+](C)CC,751.6656347,432.96,169.61,219.62,264.15,301.36,358.02,398.57,459.46,1,9,2.197224577
105,c1ccccc1[C+](C=C)C=C,953.1298967,412.39,183.22,237.38,282.28,318.19,370.79,406.84,457.65,1,2,0.693147181
106,c1ccccc1[C+](C=C)C=CC,896.6945479,452.21,204.58,259.77,308.7,349.7,411.95,455.55,517.3,2,3,0.405465108
