,mol_1,target_H_298,target_S_298,target_Cp_300,target_Cp_400,target_Cp_500,target_Cp_600,target_Cp_800,target_Cp_1000,target_Cp_1500,feature_opt,feature_symm,feature_entropy
145,[CH2]CC[C@H](C)CC=C,114.90961,468.98456,188.32184,229.15768,266.64632,298.86312,349.9916,388.2752,448.19008,2,6,1.098612289
200,[CH2]CCCC/C=C\C,114.809194,472.08072,175.05856,218.1956,257.98544,292.0432,345.5984,385.26272,446.80936,1,6,1.791759469
181,[CH2]CCC/C=C\CC,114.725514,471.62048,172.04608,217.94456,259.07328,293.63312,347.272,386.64344,447.60432,1,6,1.791759469
105,[CH2]C[C@H](C)CCC=C,114.646018,466.0976,183.38472,226.1452,264.67984,297.4824,349.1548,387.6476,447.81352,2,6,1.098612289
338,C=C(C)CC[CH]C,113.991274,437.26984,148.40648,185.81144,219.99472,249.40824,296.018,330.9544,385.47192,1,9,2.197224577
378,C=C[CH]CC,112.85333,338.4856,103.01008,132.0052,157.3184,178.40576,210.8736,234.7224,271.91816,1,6,1.791759469
303,C[CH]/C=C\C,112.313594,339.28056,101.12728,127.52832,151.96288,173.05024,206.4804,231.3752,270.20272,1,9,2.197224577
183,[CH2]CCC[C@@H](C)C=C,112.194194,464.88424,190.9996,233.71824,270.87216,302.33584,352.20912,389.7396,448.85952,2,6,1.098612289
147,[CH2]CC[C@H](C=C)CC,110.863682,455.34472,190.9996,235.64288,273.75912,305.39016,354.67768,391.53872,449.73816,2,6,1.098612289
377,C=C[CH]CC,110.790618,339.95,106.44096,133.42776,157.5276,177.90368,209.91128,233.76008,271.24872,1,6,1.791759469
174,[CH2]CCC/C=C/CC,110.298842,477.22704,177.65264,220.78968,259.74272,292.96368,345.3892,384.63512,446.05624,1,6,1.791759469
285,C/C=C\[C](C)/C=C/C,110.199918,420.15728,155.05904,196.60616,234.63872,267.19024,318.4024,356.14208,414.34152,1,54,3.988984047
198,[CH2]CCCC/C=C/C,109.985042,467.18544,180.1212,221.71016,260.0356,293.04736,345.55656,384.88616,446.34912,1,6,1.791759469
38,[CH2][C@@H](CC=C)C(C)C,109.508066,454.92632,186.27168,229.2832,267.27392,299.40704,349.9916,387.94048,447.77168,2,18,2.197224577
410,C=CCCC[CH]CC,108.851178,485.51136,174.09624,217.52616,257.06496,290.82984,344.17584,383.92384,445.88888,1,3,1.098612289
411,C=CCCCC[CH]C,108.71729,478.60776,175.56064,217.7772,256.8976,290.66248,344.134,384.00752,446.09808,1,3,1.098612289
354,C=C[C](C)C=C(C)C,107.697886,422.50032,162.71576,203.67712,240.49632,272.00184,321.58224,358.19224,414.0068,1,27,3.295836866
107,[CH2]C[C@H](C=C)C(C)C,107.575058,450.57496,185.22568,230.99864,270.2864,302.75424,352.96224,390.24168,448.9432,2,18,2.197224577
193,[CH2]CCCC(=C)CC,106.734074,468.94272,174.97488,219.99472,260.0356,293.80048,346.56072,385.68112,446.72568,1,6,1.791759469
140,[CH2]CC/C=C\C(C)C,106.600186,454.67528,174.97488,223.09088,265.34928,300.07648,352.502,390.3672,449.1524,1,18,2.890371758
346,C=C[C](/C=C/C)CC,106.568206,414.216,171.08376,215.6852,253.71776,285.09776,333.0464,367.89912,420.53384,1,9,2.197224577
206,[CH2]CCCCC(=C)C,105.55837,470.61632,179.03336,222.21224,260.99792,294.05152,346.30968,385.38824,446.55832,1,6,1.791759469
78,[CH2]C(C)(C)CCC=C,104.612786,445.8052,188.82392,232.79776,270.74664,302.58688,352.46016,389.78144,448.65032,1,18,2.890371758
162,[CH2]CCC(C)(C)C=C,103.608626,439.86392,193.80288,235.01528,272.08552,303.71656,353.50616,390.70192,449.27792,1,18,2.890371758
159,[CH2]CCC(=C)C(C)C,103.370138,458.9848,177.10872,221.79384,261.54184,294.972,347.10464,385.84848,446.55832,1,18,2.890371758
405,C=CCC[CH]C(C)C,103.15257,471.62048,176.85768,220.41312,259.6172,292.92184,345.34736,384.5096,445.88888,1,9,2.197224577
135,[CH2]CC/C=C/C(C)C,102.474762,463.5872,181.33456,223.96952,262.29496,294.88832,346.47704,385.17904,446.13992,1,18,2.890371758
319,C[CH]CCC/C=C\C,101.504074,477.93832,168.28048,212.17064,252.79728,287.69184,342.54408,383.12888,445.84704,1,9,2.197224577
166,[CH2]CCC/C(C)=C/C,101.156802,467.31096,172.88288,216.01992,255.34952,289.07256,342.4604,382.4176,444.88472,1,18,2.890371758
334,C=C(C)[CH]C,100.99169,337.10488,101.2528,128.95088,153.59464,174.51464,207.40088,231.91912,270.24456,1,9,2.197224577
117,[CH2]CC,100.923358,290.41144,72.46688,89.7468,105.56232,119.16032,141.21,158.11336,185.30936,1,6,1.791759469
219,[CH2]CCCCCCC=C,100.732074,517.26792,207.61008,254.178,297.44056,334.76184,393.88176,438.02296,506.8916,1,2,0.693147181
167,[CH2]CCC/C(C)=C\C,100.53757,464.29848,174.72384,218.36296,257.90176,291.6248,344.71976,384.25856,445.97256,1,18,2.890371758
291,C/C=C\CC[C](C)C,100.376642,468.14776,165.72824,208.19584,248.48776,283.54968,339.23872,380.5348,444.38264,1,54,3.988984047
124,[CH2]CC(C)(C)CC=C,99.813738,445.05208,183.2592,230.07816,270.7048,304.13496,355.09608,392.29184,450.1984,1,18,2.890371758
203,[CH2]CCCC=C(C)C,99.286554,466.9344,174.09624,217.52616,257.14864,291.08088,344.5524,384.34224,446.2236,1,18,2.890371758
299,C[CH]/C=C/C,98.569154,331.91672,103.93056,129.2856,153.17624,173.97072,207.108,231.87728,270.4956,1,9,2.197224577
110,[CH2]C[C@H](CC)CCC=C,98.276066,507.60288,210.95728,256.10264,298.57024,335.47312,394.30016,438.31584,507.05896,2,6,1.098612289
318,C[CH]CCC/C=C/C,96.930962,473.16856,174.2636,216.14544,255.0148,288.73784,342.4604,382.71048,445.34496,1,9,2.197224577
149,[CH2]CC[C@H](CC)CC=C,96.213354,500.36456,212.50536,258.9896,301.4572,338.10904,396.26664,439.82208,507.85392,2,6,1.098612289
37,[CH2][C@@H](CC)CCCC=C,96.016706,509.15096,211.83592,258.52936,301.28984,337.98352,396.0156,439.40368,507.39368,2,6,1.098612289
279,C/C=C/[C](C)/C=C/C,94.610334,414.0068,159.03384,199.32576,236.6052,268.73832,319.40656,356.8952,414.80176,1,54,3.988984047
350,C=C[C](C)C,94.351682,336.05888,103.554,129.87136,153.92936,174.64016,207.44272,231.96096,270.37008,1,18,2.890371758
211,[CH2]CCCCC/C=C\C,93.916338,511.9124,200.4136,248.48776,293.13104,331.54016,392.0408,436.93512,506.55688,1,6,1.791759469
407,C=CCCC[C](C)C,93.784594,475.5116,172.46448,213.96976,253.09016,287.06424,341.2052,381.70632,444.7592,1,18,2.890371758
340,C=C(C)CCC[CH]C,92.541946,475.42792,171.92056,215.85256,255.51688,289.44912,343.12984,383.17072,445.55416,1,9,2.197224577
290,C/C=C\[CH]CC,91.72617,374.8864,121.83808,155.72848,186.3972,212.5472,253.59224,283.92624,330.78704,1,9,2.197224577
383,C=C[CH]CCC,91.086018,378.06624,126.52416,161.33504,192.0456,217.69352,257.27416,286.3948,331.62384,1,6,1.791759469
185,[CH2]CCC[C@H](C=C)CC,90.196762,496.4316,215.09944,265.18192,308.44448,344.5524,400.99456,443.16928,509.48568,2,6,1.098612289
111,[CH2]C[C@H](CC=C)C(C)C,89.719786,482.6244,224.4716,272.12736,312.5448,346.6444,401.20376,442.79272,509.02544,2,18,2.197224577
39,[CH2][C@@H](CCC=C)C(C)C,89.456194,492.12208,208.86528,259.15696,303.46552,340.61944,398.48416,441.412,508.5652,2,18,2.197224577
210,[CH2]CCCCC/C=C/C,89.401802,514.92488,205.51808,251.91864,295.13936,332.50248,391.99896,436.55856,506.09664,1,6,1.791759469
382,C=C[CH]CCC,89.060962,377.43864,130.20608,163.05048,192.50584,217.40064,256.39552,285.43248,330.91256,1,3,1.098612289
413,C=CCCCC[CH]CC,88.108946,516.01272,199.24208,247.39992,291.79216,329.9084,390.32536,435.38704,505.51088,1,3,1.098612289
307,C[CH]C,87.626606,288.86336,67.90632,84.3076,100.37416,114.68344,138.15568,156.10504,184.5144,1,18,2.890371758
433,CC=C[CH]C,86.93957,333.38112,97.82192,125.3108,150.37296,171.83688,205.6436,230.78944,269.82616,1,9,2.197224577
320,C[CH]CCC=C(C)C,86.596482,470.23976,169.8704,212.50536,252.25336,286.72952,341.45624,382.2084,445.34496,1,27,3.295836866
209,[CH2]CCCCC(=C)CC,86.184306,511.15928,201.08304,250.57976,295.26488,333.29744,392.96128,437.35352,506.4732,1,6,1.791759469
146,[CH2]CC[C@H](C=C)C(C)C,85.548338,484.5072,208.65608,261.0816,306.60352,344.25952,402.04056,444.42448,510.36432,2,18,2.197224577
177,[CH2]CCC/C=C\C(C)C,85.029522,494.5488,198.19608,252.33704,300.03464,339.36424,398.9444,442.08144,508.85808,1,18,2.890371758
214,[CH2]CCCCCC(=C)C,84.895634,511.87056,204.3884,252.42072,296.05984,333.4648,392.71024,437.0188,506.264,1,6,1.791759469
80,[CH2]C(C)(C)CCCC=C,83.527466,487.72888,211.58488,262.1276,305.76672,342.20936,399.19544,441.66304,508.52336,1,18,2.890371758
125,[CH2]CC(C)(C)CCC=C,82.895682,482.95912,207.108,258.9896,303.7584,341.03784,398.86072,441.70488,508.69072,1,18,2.890371758
284,C/C=C/CC[C](C)C,82.747202,469.4448,171.29296,212.08696,250.87264,284.80488,339.3224,380.20008,443.9224,1,54,3.988984047
194,[CH2]CCCC(C)(C)C=C,81.987754,481.32736,214.43,264.26144,307.64952,344.00848,400.8272,443.16928,509.6112,1,18,2.890371758
191,[CH2]CCCC(=C)C(C)C,81.740898,498.90016,200.79016,252.00232,297.23136,335.18024,394.25832,438.0648,506.59872,1,18,2.890371758
409,C=CCCC[CH]C(C)C,81.527514,508.10496,200.99936,250.8308,295.43224,333.21376,392.58472,436.76776,505.92928,1,9,2.197224577
163,[CH2]CCC(C)(C)CC=C,81.196978,482.33152,208.90712,261.33264,306.51984,343.88296,401.32928,443.58768,509.65304,1,18,2.890371758
335,C=C(C)[CH]CC,81.065338,372.5852,125.22712,159.45224,189.82808,215.43416,255.39136,284.88856,330.78704,1,9,2.197224577
171,[CH2]CCC/C=C/C(C)C,80.962674,499.19304,204.3884,253.04832,296.81296,334.05056,392.83576,436.85144,505.8456,1,18,2.890371758
283,C/C=C/[CH]CC,80.45029,376.01608,124.09744,157.56944,187.98712,213.84424,254.30352,284.21912,330.57784,1,9,2.197224577
337,C=C(C)CC[C](C)C,80.081994,471.87152,167.9876,210.37152,250.11952,284.63752,339.61528,380.61848,444.29896,1,54,3.988984047
60,[CH2][C@H](CC=C)C(C)(C)C,79.824626,467.05992,211.83592,263.42464,307.27296,343.7156,400.49248,442.83456,509.27648,2,162,4.394449155
196,[CH2]CCCC/C(C)=C/C,79.594506,506.34768,198.3216,246.18656,290.3696,328.444,388.98648,434.25736,504.7996,1,18,2.890371758
153,[CH2]CCC,79.36943,329.23896,94.60024,118.4072,139.9548,158.3644,187.69424,209.86944,245.09872,1,6,1.791759469
197,[CH2]CCCC/C(C)=C\C,78.975274,502.4984,200.32992,248.65512,292.96368,331.03808,391.24584,436.09832,505.88744,1,18,2.890371758
302,C[CH]/C=C/CC,78.458706,376.9784,127.48648,158.95016,188.15448,213.34216,253.3412,283.2568,329.86656,1,9,2.197224577
106,[CH2]C[C@H](C=C)C(C)(C)C,77.577818,464.71688,211.62672,263.3828,308.02608,345.13816,402.37528,444.50816,510.28064,2,162,4.394449155
287,C/C=C\[C](C)C,76.638666,373.50568,121.336,153.30176,183.05,208.90712,250.11952,280.87192,328.6532,1,54,3.988984047
158,[CH2]CCC(=C)C(C)(C)C,75.28917,468.90088,205.35072,256.6884,301.4572,338.94584,397.2708,440.49152,508.10496,1,162,5.087596335
355,C=C[C](C)CC,74.555034,375.63952,125.64552,158.53176,188.19632,213.46768,253.3412,283.08944,329.61552,1,9,2.197224577
83,[CH2]C(C)C,72.767078,320.2852,96.6504,120.66656,141.92128,159.95432,188.57288,210.32968,245.14056,1,18,2.890371758
341,C=C(C)CCCC[CH]C,72.27669,515.97088,198.5308,246.77232,291.03904,329.11344,389.61408,434.80128,505.25984,1,9,2.197224577
297,C[C](C)CC=C(C)C,72.02361,462.332,170.2888,209.8276,248.19488,282.12712,337.06304,378.4428,442.91824,1,162,5.087596335
404,C=CCC[CH]C(C)(C)C,69.97549,490.7832,200.58096,251.75128,297.14768,335.26392,394.59304,438.4832,506.93344,1,81,4.394449155
333,C=C(C)[C](C)C,68.977762,369.6564,124.09744,156.23056,185.64408,210.99912,251.37472,281.5832,328.82056,1,54,3.988984047
134,[CH2]CC/C=C/C(C)(C)C,68.590586,478.06384,203.09136,254.34536,299.3652,337.0212,395.63904,439.06896,507.01712,1,162,5.087596335
314,C[CH]CC,67.532894,333.63216,91.2112,113.63744,134.97584,153.762,184.17968,207.3172,243.88536,1,9,2.197224577
