name,rmse_0,mse_0,mae_0,max_0,rmse_1,mse_1,mae_1,max_1,rmse_2,mse_2,mae_2,max_2,rmse_3,mse_3,mae_3,max_3,rmse_4,mse_4,mae_4,max_4,rmse_5,mse_5,mae_5,max_5,rmse_6,mse_6,mae_6,max_6,rmse_7,mse_7,mae_7,max_7,rmse_8,mse_8,mae_8,max_8
train,2.71390645169544,7.365288228554133,2.003714038210133,15.528537474872781,2.802585301040078,7.8544843696059035,2.1073640864592953,10.07105918045346,1.3726439279761389,1.8841513530097633,1.0142689647212881,5.669134026552371,1.4205637873684118,2.0180014739824865,0.9855291308284994,7.481644721053215,1.4193179426716565,2.0144634223897038,0.992556007050061,7.016875911141597,1.3311108589296994,1.771856118760562,0.9786384261042613,4.259520901103372,1.0621552183636478,1.1281737078971281,0.7858736909847958,3.966868448574189,1.0913930580566948,1.191138807174344,0.7938749121009183,4.218393958445972,1.3574916540391917,1.8427835907860606,0.9764721186426365,8.50772206441468
val,3.8109184871089097,14.523099715388462,2.9565361695358687,9.817027178042963,3.679018762743659,13.535179056619885,2.8267463648522164,10.783202110780735,3.194315671760817,10.20365261085676,2.210091260428448,8.741316416629786,3.0109577902393565,9.06586681460307,1.9977262680562193,9.226332292374678,2.850770799528041,8.126894151441746,2.0723139923996325,7.297037364419282,2.5051038190057136,6.275545143997012,1.7379209857262439,7.367587831831031,2.017008664860523,4.068323954122431,1.4432415628569901,5.979072012914827,1.5015122647239263,2.2545390811163744,1.1145876443479865,3.945476802733424,1.2063015523996787,1.455163435321875,0.8894533944030748,3.5346046863203924
test,4.12813161124298,17.041470599743562,3.0826252409359434,11.01002228048398,4.604470379015145,21.20114747122787,3.3336735922626004,13.826346874814988,2.7284498786710327,7.444438740419972,1.9386497570677097,7.462992730697408,2.7816875291406546,7.737785509776639,1.9080829033032873,8.467061108020289,2.7320222765540083,7.463945719587346,1.9600725408825712,6.674003894901489,2.6669506068148285,7.112625539189981,1.8367113463600384,7.774251097471506,2.2858262355601315,5.225001579175001,1.5148211118749968,9.162021201496145,1.9529390088974692,3.8139707724734295,1.2320905327095635,8.264572698498682,1.781577059423489,3.174016818664046,1.1875252572743857,7.574265617216156
