name,rmse_0,mse_0,mae_0,max_0,rmse_1,mse_1,mae_1,max_1,rmse_2,mse_2,mae_2,max_2,rmse_3,mse_3,mae_3,max_3,rmse_4,mse_4,mae_4,max_4,rmse_5,mse_5,mae_5,max_5,rmse_6,mse_6,mae_6,max_6,rmse_7,mse_7,mae_7,max_7,rmse_8,mse_8,mae_8,max_8
train,2.655387291269296,7.051081666634488,1.9131027173802746,13.287714367604138,2.853177066516644,8.14061937289652,2.1464467396486713,9.670682356451664,1.4788414202265883,2.186971946177793,1.1121142894620235,4.924718038903592,1.6670733449108712,2.7791335373123203,1.1555266254305065,8.992141958758054,1.632380565430079,2.6646663103938244,1.0954709898797326,8.791262565495856,1.4881815615248843,2.214684360062643,1.0546819697395606,6.077817335257102,1.3180489396650175,1.737253007352077,0.9842440542076271,4.812638436730282,1.4857102627625578,2.2073349848779884,1.145068928892571,4.787606903283205,1.3748880228379459,1.8903170753432357,1.0347566140800066,5.448249778725653
val,5.559553651484114,30.908636803730342,3.1818737265000925,23.246634506712212,3.981412442796959,15.851645039658449,2.983055857033973,10.571164764366642,2.273237412125655,5.167608331887744,1.668410331406338,6.341707276826867,2.4800714043884824,6.15075417086546,1.6152092542283836,10.462907511900681,2.559184237783316,6.549423962918571,1.6088451104751342,11.021855731070943,4.081235718844013,16.656484992768206,1.7651451817715083,21.56018436667067,1.3249837601474495,1.755581964654474,0.9749281873590582,3.426880473070014,5.76204757513543,33.20119225812409,1.8900957849393991,32.3801826867241,1.0862680914669012,1.179978366539144,0.8165980802726542,2.3496789554556017
test,5.61158697435219,31.489908370719164,3.859523192751716,19.31011284128732,3.4420275679671586,11.847553778645914,2.538625303619283,9.737629775296455,1.8116250987958207,3.2819854985869674,1.4717886872643349,3.9741540373181294,2.120527370384807,4.496636328551103,1.510635285858705,5.785222144658974,2.2477036498271503,5.052171697446293,1.5172640116056617,5.675138865688496,2.251809890711432,5.070647783905831,1.522110988427186,5.824193895494631,2.0255978611944467,4.103046695275516,1.4549110210703478,5.169856595285097,2.055033475029872,4.223162583493352,1.4926200168564243,6.555203625665172,1.6654840730216098,2.7738371974886507,1.2080365350574975,6.11002042675068
